gene	num_common_functional	total_coding_variants
A1BG	3	1072
AAR2	2	653
ABCA7	19	5161
ABHD12	1	722
ABHD8	3	859
ACER1	4	517
ACOT8	2	572
ACP4	4	957
ACP7	3	887
ACSS1	5	1226
ACTL9	4	904
ACTN4	2	1108
ACTR5	4	1190
ADA	1	368
ADAMTS1	7	1819
ADAMTS5	10	1801
ADAMTSL5	5	1130
ADARB1	1	1016
ADGRE2	11	1267
ADGRE3	10	1107
ADGRE5	7	747
ADRA1D	3	1182
ADRM1	1	116
AGPAT3	1	543
AHCY	3	734
AIRE	5	1196
AKAP8	8	1420
AKAP8L	1	855
ALDH16A1	9	1702
ANGPT4	4	973
ANGPTL4	6	843
ANGPTL6	4	1043
ANGPTL8	2	347
ANKRD27	5	1922
ANKRD60	4	375
ANO8	4	2201
AP1M1	0	636
AP1M2	1	782
AP2A1	0	888
AP2S1	0	132
APBA3	10	1306
APCDD1L	8	1072
APLP1	3	1265
APMAP	5	771
APOC2	0	176
APOE	3	715
APP	0	1255
ARFGEF2	3	2589
ARHGAP33	4	2240
ARHGAP45	4	1678
ARHGEF18	7	488
ARID3A	2	1092
ARRDC2	5	911
ASF1B	0	358
ASIP	1	268
ATCAY	0	702
ATG4D	2	962
ATP4A	6	1592
ATP5F1D	0	447
ATP5F1E	0	22
ATP5PF	0	168
ATP5PO	2	371
ATP8B3	12	2632
ATRN	6	2117
AURKC	0	505
AXL	2	1548
AZU1	2	591
B3GNT3	0	344
B4GALT5	2	542
B9D2	1	43
BACH1	4	1175
BANF2	2	156
BCAM	12	1411
BCAT2	2	718
BCKDHA	2	735
BCL2L1	0	311
BCL2L12	1	250
BCL3	1	903
BIRC7	7	626
BLVRB	3	434
BMP2	2	661
BMP7	1	740
BPIFA1	0	517
BPIFB1	10	829
BPIFB2	4	906
BPIFB3	11	972
BPIFB4	11	1214
BPIFB6	7	919
BRSK1	2	1111
BSG	3	957
BSPH1	0	176
BST2	0	272
BTBD2	2	1048
C19orf12	4	254
C19orf18	1	378
C19orf33	0	181
C19orf38	2	329
C19orf44	2	861
C19orf81	0	34
C20orf202	1	196
C20orf96	3	716
C21orf58	3	672
C21orf91	3	469
